"Height","Phos","Potas","Sulf","Planting","Type","Temp","Quality"
16.3,89,270,38,2022-03-19,"Phalaenopsis",27.7,7
2.6,0,265,39,2022-04-01,"Odontoglossum",18.1,5
22.7,83,295,34,2022-04-14,"Dendrobium",17.5,6
6.7,63,353,35,2022-03-23,"Oncidium",22.6,7
6.4,99,309,43,2022-04-12,"Cattleya",21.1,6
6.3,68,272,36,2022-04-08,"Oncidium",21.7,3
9.9,82,303,38,2022-03-11,"Cymbidium",17.6,5
7.2,90,242,41,2022-04-05,"Oncidium",21.6,6
8.9,77,0,35,2022-04-13,"Phalaenopsis",24.3,6
14.3,96,272,0,2022-03-22,"Miltoniopsis",17.1,4
16.2,111,295,35,2022-03-22,"Cymbidium",19.9,6
3.4,87,291,33,2022-03-10,"Odontoglossum",18.4,7
6.1,83,286,34,2022-03-12,"Oncidium",20.9,5
16.5,77,318,39,2022-03-24,"Phalaenopsis",27.6,7
3.3,90,267,37,2022-03-17,"Odontoglossum",19.3,6
2.7,88,268,0,2022-03-12,"Odontoglossum",18.7,7
13.1,83,237,32,2022-04-10,"Phalaenopsis",26.5,5
7.4,83,287,37,2022-03-22,"Oncidium",22.1,5
15.7,91,265,34,2022-04-14,"Miltoniopsis",19.2,1
16.1,92,299,36,2022-04-10,"Cambria",20.6,7
15.3,76,238,34,2022-03-15,"Cymbidium",20.7,3
12.8,74,294,35,2022-03-21,"Cymbidium",18.3,7
25.9,0,246,39,2022-03-15,"Dendrobium",17.6,9
15,74,0,35,2022-03-13,"Miltoniopsis",17.1,4
3.3,69,280,37,2022-03-28,"Odontoglossum",19.1,8
8.5,88,276,0,2022-03-16,"Cattleya",21.7,8
6.9,0,298,0,2022-03-04,"Oncidium",20,4
18.3,78,271,40,2022-04-04,"Cambria",20.9,7
7.8,0,279,39,2022-03-05,"Oncidium",21.3,5
18.7,0,262,37,2022-03-25,"Cambria",22.4,7
7,81,252,35,2022-03-17,"Oncidium",22.3,7
20.2,81,285,42,2022-03-19,"Dendrobium",19.6,9
10.1,78,284,33,2022-04-10,"Cymbidium",18.2,10
16.1,77,308,37,2022-04-07,"Cymbidium",16.6,8
14.8,68,296,0,2022-03-24,"Cambria",21.2,9
24,72,0,0,2022-03-22,"Dendrobium",19.1,8
18.6,71,245,37,2022-03-19,"Cymbidium",17.8,5
3.1,78,0,36,2022-03-14,"Odontoglossum",17.8,4
13.8,66,235,0,2022-04-09,"Cymbidium",17.3,9
20.7,86,266,39,2022-04-05,"Vanda",25.4,6
8,71,302,42,2022-03-19,"Paphiopedalum",20,7
22.6,81,284,39,2022-03-06,"Dendrobium",19.1,8
8.8,93,297,35,2022-03-17,"Cattleya",21.9,9
11.8,83,312,32,2022-04-04,"Phalaenopsis",25.7,8
17.1,86,0,36,2022-03-20,"Phalaenopsis",26.6,8
16.1,80,0,39,2022-03-18,"Miltoniopsis",20.4,7
8.2,92,264,41,2022-04-13,"Cattleya",21.1,5
5.9,0,320,35,2022-03-21,"Paphiopedalum",21.6,3
11.8,89,0,34,2022-03-13,"Cymbidium",18.8,6
8.6,76,260,0,2022-03-04,"Cattleya",20.6,6
27.2,0,249,37,2022-04-24,"Dendrobium",19.7,4
8.1,79,347,30,2022-03-14,"Paphiopedalum",21.8,6
3.7,79,322,40,2022-03-17,"Odontoglossum",19.8,5
7.9,80,283,36,2022-04-11,"Oncidium",21.4,7
2.9,63,274,34,2022-03-16,"Odontoglossum",19.2,8
24.4,84,0,38,2022-03-09,"Vanda",28.4,5
12.6,78,0,0,2022-03-23,"Cymbidium",17.3,4
6.4,59,320,34,2022-03-30,"Cattleya",19.3,6
16.9,80,286,33,2022-04-01,"Miltoniopsis",19.6,4
15.7,93,297,36,2022-03-10,"Cambria",20.8,5
7.3,77,289,40,2022-03-17,"Oncidium",20.7,9
16.3,0,269,35,2022-03-26,"Miltoniopsis",19.2,5
8.5,94,263,35,2022-03-26,"Paphiopedalum",20.1,7
13.4,63,280,38,2022-03-11,"Phalaenopsis",28.3,6
6.9,69,0,31,2022-04-13,"Oncidium",20.2,8
13.4,71,272,0,2022-03-21,"Phalaenopsis",23.6,8
15,69,286,38,2022-04-02,"Phalaenopsis",25.4,7
25.2,67,256,36,2022-03-04,"Vanda",27.4,6
3.2,94,0,36,2022-03-31,"Odontoglossum",16.6,6
5.9,0,0,39,2022-04-07,"Oncidium",20.8,8
11.4,110,302,0,2022-03-25,"Miltoniopsis",19.5,6
13.3,79,239,39,2022-03-24,"Phalaenopsis",24.6,8
15.3,75,288,34,2022-03-30,"Miltoniopsis",17.8,5
28,84,292,0,2022-04-05,"Dendrobium",16.4,8
6.1,76,310,0,2022-03-12,"Paphiopedalum",20.3,8
15,82,293,35,2022-03-23,"Cymbidium",19.8,7
22.2,85,231,0,2022-03-04,"Vanda",26.7,5
12.9,87,279,33,2022-03-15,"Cymbidium",17.7,4
7,96,290,32,2022-03-24,"Oncidium",20.5,9
14.5,0,250,0,2022-03-27,"Cymbidium",18.1,7
3.1,77,301,37,2022-03-29,"Odontoglossum",18.6,9
15.1,76,261,33,2022-03-28,"Phalaenopsis",26,10
8,81,278,36,2022-03-17,"Cattleya",20.1,7
5.7,90,297,37,2022-04-10,"Oncidium",21.4,4
16.6,91,274,38,2022-04-18,"Miltoniopsis",17.3,3
21.4,87,301,0,2022-03-20,"Vanda",25,7
18.2,74,301,33,2022-03-16,"Phalaenopsis",27.8,9
7.4,90,310,44,2022-03-20,"Oncidium",21.8,6
3.2,0,298,36,2022-03-04,"Odontoglossum",18.9,5
20.9,0,299,33,2022-04-12,"Cambria",22,8
10.3,77,313,35,2022-03-21,"Paphiopedalum",21.2,9
18.2,80,323,35,2022-03-20,"Vanda",24.3,7
6.7,0,248,36,2022-03-11,"Paphiopedalum",20.9,8
13.4,86,292,36,2022-03-23,"Miltoniopsis",17.7,5
12.6,65,264,33,2022-04-12,"Cymbidium",19.5,7
15.8,70,274,33,2022-04-05,"Phalaenopsis",25.9,7
17.9,0,0,40,2022-04-05,"Miltoniopsis",19,7
17.2,0,309,34,2022-03-27,"Cambria",20.2,5
